Kode
ACES
ADRO
AKRA
ANTM
ASII
BBCA
BBRI
BBTN
BMRI
BRIS
BSDE
CPIN
DOID
ERA
GGRM
HMSP
ICBP
INDF
INDY
INKP
INTP
ITMG
JPFA
KLBF
MDKA
MEDC
MIKA
MNCN
PGAS
PTBA
PTPP
RAJA
SCMA
SIDO
SMGR
TBIG
TINS
TKIM
TLKM
TOWR
UNTR
UNVR
WIKA
WSKT
